halo_id,snapshot,z,mass,descendant_id
1,6,1.2,96927352118.9836,
2,6,1.2,151833331526.7448,
3,6,1.2,101869300549.5933,
4,6,1.2,81612321083.47394,
5,6,1.2,130396850989.4391,
6,6,1.2,121728936880.48811,
7,6,1.2,122361644783.42946,
8,6,1.2,106946923879.86584,
9,6,1.2,105906470779.5107,
10,6,1.2,137575371913.0491,
11,6,1.2,94458501627.0608,
12,6,1.2,126193627411.71487,
13,6,1.2,107331537886.04175,
14,6,1.2,120396817845.23897,
15,6,1.2,101665091151.40654,
16,6,1.2,94471831061.74614,
17,6,1.2,83688153946.3787,
18,6,1.2,82004055026.20108,
19,6,1.2,129833059366.12761,
20,6,1.2,83369618780.45668,
21,6,1.2,113533628219.87358,
22,6,1.2,93624649408.55807,
23,6,1.2,83806822527.36137,
24,6,1.2,128660270026.62286,
25,6,1.2,144674080548.28955,
26,6,1.2,64403275278.46702,
27,6,1.2,103016464492.0271,
28,6,1.2,115510102047.11967,
29,6,1.2,101933026196.60231,
30,6,1.2,170711978949.97983,
31,6,1.2,169226032577.81607,
32,6,1.2,109568195392.91512,
33,6,1.2,84333122884.1551,
34,6,1.2,82160356583.37296,
35,6,1.2,62524148127.42776,
36,6,1.2,131047733490.26497,
37,6,1.2,80335182896.35632,
38,6,1.2,117233449840.60356,
39,6,1.2,119260392049.29626,
40,6,1.2,89700563514.43411,
41,6,1.2,83381068527.14545,
42,6,1.2,98372668461.43437,
43,6,1.2,94654981553.04668,
44,6,1.2,128161415916.62529,
45,6,1.2,163804263434.36917,
46,6,1.2,108444819894.27539,
47,6,1.2,124179530213.73734,
48,6,1.2,76654148245.22432,
49,6,1.2,142655722737.0051,
50,6,1.2,180823957504.41168,
51,5,2.0,45925503916.81522,1.0
52,5,2.0,7297478303.575701,1.0
53,5,2.0,43704369898.59269,1.0
54,5,2.0,116722487482.85594,2.0
55,5,2.0,35110844043.88886,2.0
56,5,2.0,101869300549.59329,3.0
57,5,2.0,41161545476.1941,4.0
58,5,2.0,19076006408.29402,4.0
59,5,2.0,21374769198.9858,4.0
60,5,2.0,17887590795.708206,5.0
61,5,2.0,43798636279.6883,5.0
62,5,2.0,68710623914.0426,5.0
63,5,2.0,121728936880.48811,6.0
64,5,2.0,122361644783.42946,7.0
65,5,2.0,96837014117.05821,8.0
66,5,2.0,10109909762.807621,8.0
67,5,2.0,101943684230.0221,9.0
68,5,2.0,3962786549.488584,9.0
69,5,2.0,12215042543.120737,10.0
70,5,2.0,44378237501.34437,10.0
71,5,2.0,80982091868.58401,10.0
72,5,2.0,29121173078.8376,11.0
73,5,2.0,18378655884.444965,11.0
74,5,2.0,46958672663.77823,11.0
75,5,2.0,69956266938.52225,12.0
76,5,2.0,35018568935.95864,12.0
77,5,2.0,21218791537.233974,12.0
78,5,2.0,21430502634.140083,13.0
79,5,2.0,85901035251.90167,13.0
80,5,2.0,2112104879.5410838,14.0
81,5,2.0,20412874944.61962,14.0
82,5,2.0,97871838021.07826,14.0
83,5,2.0,31701234478.701797,15.0
84,5,2.0,5688556753.338305,15.0
85,5,2.0,64275299919.36644,15.0
86,5,2.0,28320298114.00081,16.0
87,5,2.0,21409020680.50656,16.0
88,5,2.0,44742512267.23877,16.0
89,5,2.0,24228016274.062576,17.0
90,5,2.0,59460137672.31612,17.0
91,5,2.0,12186817035.051777,18.0
92,5,2.0,32193731734.032833,18.0
93,5,2.0,37623506257.11648,18.0
94,5,2.0,7722480831.263606,19.0
95,5,2.0,96332442755.84555,19.0
96,5,2.0,25778135779.01845,19.0
97,5,2.0,83369618780.45668,20.0
98,5,2.0,46901911261.77329,21.0
99,5,2.0,53651964002.0131,21.0
100,5,2.0,12979752956.087181,21.0
101,5,2.0,93624649408.55806,22.0
102,5,2.0,13854424949.079313,23.0
103,5,2.0,47911580776.01149,23.0
104,5,2.0,22040816802.270576,23.0
105,5,2.0,128660270026.62286,24.0
106,5,2.0,40409423789.001785,25.0
107,5,2.0,104264656759.28777,25.0
108,5,2.0,22952825656.14985,26.0
109,5,2.0,41450449622.31716,26.0
110,5,2.0,21145221220.41079,27.0
111,5,2.0,44949382951.66505,27.0
112,5,2.0,36921860319.951256,27.0
113,5,2.0,35261530168.953415,28.0
114,5,2.0,80248571878.16624,28.0
115,5,2.0,85370501909.67072,29.0
116,5,2.0,16562524286.931602,29.0
117,5,2.0,63898025180.51072,30.0
118,5,2.0,106813953769.46913,30.0
119,5,2.0,169226032577.81604,31.0
120,5,2.0,57553303599.62954,32.0
121,5,2.0,26948106878.62048,32.0
122,5,2.0,25066784914.665104,32.0
123,5,2.0,57915664798.71774,33.0
124,5,2.0,26417458085.43737,33.0
125,5,2.0,82160356583.37296,34.0
126,5,2.0,4686658590.163949,35.0
127,5,2.0,30059019187.87853,35.0
128,5,2.0,27778470349.38528,35.0
129,5,2.0,131047733490.26497,36.0
130,5,2.0,15482396841.410145,37.0
131,5,2.0,55749043459.8455,37.0
132,5,2.0,9103742595.100683,37.0
133,5,2.0,13027426453.289883,38.0
134,5,2.0,53251890108.56374,38.0
135,5,2.0,50954133278.74993,38.0
136,5,2.0,25669365747.569393,39.0
137,5,2.0,39727769791.12693,39.0
138,5,2.0,53863256510.599945,39.0
139,5,2.0,21830169887.154373,40.0
140,5,2.0,26662151777.929974,40.0
141,5,2.0,41208241849.34976,40.0
142,5,2.0,83381068527.14545,41.0
143,5,2.0,64764044135.18987,42.0
144,5,2.0,33608624326.244507,42.0
145,5,2.0,15548398886.251287,43.0
146,5,2.0,79106582666.79538,43.0
147,5,2.0,111389331698.09337,44.0
148,5,2.0,16772084218.531942,44.0
149,5,2.0,163804263434.36914,45.0
150,5,2.0,73620790745.12685,46.0
151,5,2.0,3777605419.6500287,46.0
152,5,2.0,31046423729.498512,46.0
153,5,2.0,124179530213.73734,47.0
154,5,2.0,76654148245.22432,48.0
155,5,2.0,23086998506.2551,49.0
156,5,2.0,2616750601.2408113,49.0
157,5,2.0,116951973629.50919,49.0
158,5,2.0,45080117111.148415,50.0
159,5,2.0,40563449416.29333,50.0
160,5,2.0,95180390976.96992,50.0
161,4,2.8,45846874636.32672,51.0
162,4,2.8,78629280.48850386,51.0
163,4,2.8,7297478303.575701,52.0
164,4,2.8,15823269635.969172,53.0
165,4,2.8,27881100262.623516,53.0
166,4,2.8,116722487482.85594,54.0
167,4,2.8,6158554539.471842,55.0
168,4,2.8,28952289504.417027,55.0
169,4,2.8,76685518744.26617,56.0
170,4,2.8,25183781805.327118,56.0
171,4,2.8,4224110429.4606395,57.0
172,4,2.8,35127288516.153305,57.0
173,4,2.8,1810146530.5801477,57.0
174,4,2.8,19076006408.29402,58.0
175,4,2.8,12473026009.421476,59.0
176,4,2.8,8901743189.564323,59.0
177,4,2.8,17887590795.708206,60.0
178,4,2.8,15294582847.615456,61.0
179,4,2.8,28504053432.07284,61.0
180,4,2.8,68710623914.0426,62.0
181,4,2.8,34504548147.974724,63.0
182,4,2.8,87224388732.51338,63.0
183,4,2.8,122361644783.42946,64.0
184,4,2.8,45084976026.55686,65.0
185,4,2.8,51752038090.50136,65.0
186,4,2.8,3723629526.079065,66.0
187,4,2.8,57313714.17551343,66.0
188,4,2.8,6328966522.553041,66.0
189,4,2.8,79223174146.49368,67.0
190,4,2.8,22720510083.528408,67.0
191,4,2.8,3236311065.2952833,68.0
192,4,2.8,726475484.1933006,68.0
193,4,2.8,12215042543.120737,69.0
194,4,2.8,27567416787.493546,70.0
195,4,2.8,9467805092.758436,70.0
196,4,2.8,7343015621.09239,70.0
197,4,2.8,63392684980.00221,71.0
198,4,2.8,6575402381.311184,71.0
199,4,2.8,11014004507.270617,71.0
200,4,2.8,17699428019.94401,72.0
201,4,2.8,11407345066.95214,72.0
202,4,2.8,14399991.94144822,72.0
203,4,2.8,18378655884.444965,73.0
204,4,2.8,26115958414.758263,74.0
205,4,2.8,9740070533.491575,74.0
206,4,2.8,11102643715.528395,74.0
207,4,2.8,69956266938.52225,75.0
208,4,2.8,35018568935.95864,76.0
209,4,2.8,21218791537.233974,77.0
210,4,2.8,11923548497.26697,78.0
211,4,2.8,9506954136.873117,78.0
212,4,2.8,85901035251.90167,79.0
213,4,2.8,34920032.36022424,80.0
214,4,2.8,525188224.7488708,80.0
215,4,2.8,1551996622.4319887,80.0
216,4,2.8,10238461230.560158,81.0
217,4,2.8,10174413714.059467,81.0
218,4,2.8,97871838021.07826,82.0
219,4,2.8,31701234478.701797,83.0
220,4,2.8,1177872504.4422228,84.0
221,4,2.8,1202079220.020436,84.0
222,4,2.8,3308605028.875647,84.0
223,4,2.8,26499062614.05889,85.0
224,4,2.8,5639230513.344592,85.0
225,4,2.8,32137006791.96296,85.0
226,4,2.8,15906808497.161442,86.0
227,4,2.8,12413489616.83937,86.0
228,4,2.8,21409020680.50656,87.0
229,4,2.8,35636619394.71401,88.0
230,4,2.8,6312848919.023862,88.0
231,4,2.8,2793043953.5008903,88.0
232,4,2.8,24228016274.062576,89.0
233,4,2.8,10451585611.433,90.0
234,4,2.8,5054629404.924994,90.0
235,4,2.8,43953922655.95813,90.0
236,4,2.8,2107660161.1891878,91.0
237,4,2.8,10079156873.862589,91.0
238,4,2.8,17471214926.546383,92.0
239,4,2.8,5582166879.953201,92.0
240,4,2.8,9140349927.533249,92.0
241,4,2.8,23874951552.45917,93.0
242,4,2.8,13748554704.6573,93.0
243,4,2.8,1361294607.8952203,94.0
244,4,2.8,6361186223.368387,94.0
245,4,2.8,96332442755.84555,95.0
246,4,2.8,25778135779.01845,96.0
247,4,2.8,9388102421.42482,97.0
248,4,2.8,73981516359.03186,97.0
249,4,2.8,34257380532.92086,98.0
250,4,2.8,12644530728.85242,98.0
251,4,2.8,13692861679.254423,99.0
252,4,2.8,1565540066.4541972,99.0
253,4,2.8,38393562256.304474,99.0
254,4,2.8,7165525551.433908,100.0
255,4,2.8,5814227404.653273,100.0
256,4,2.8,93624649408.55806,101.0
257,4,2.8,5022741950.4411745,102.0
258,4,2.8,8831682998.638138,102.0
259,4,2.8,21671489036.34801,103.0
260,4,2.8,17800760313.11579,103.0
261,4,2.8,8439331426.547678,103.0
262,4,2.8,12589194862.1341,104.0
263,4,2.8,9451621940.136475,104.0
264,4,2.8,2248977816.010753,105.0
265,4,2.8,126411292210.6121,105.0
266,4,2.8,40409423789.001785,106.0
267,4,2.8,65830081402.694214,107.0
268,4,2.8,19401570115.44278,107.0
269,4,2.8,19033005241.150757,107.0
270,4,2.8,16735758090.98063,108.0
271,4,2.8,6217067565.169219,108.0
272,4,2.8,41450449622.31716,109.0
273,4,2.8,21145221220.41079,110.0
274,4,2.8,39086958620.75212,111.0
275,4,2.8,2010072824.2152855,111.0
276,4,2.8,3852351506.697639,111.0
277,4,2.8,1448582773.9522252,112.0
278,4,2.8,23019998171.19852,112.0
279,4,2.8,12453279374.800514,112.0
280,4,2.8,5402103836.043868,113.0
281,4,2.8,29656242397.823288,113.0
282,4,2.8,203183935.08625954,113.0
283,4,2.8,74581372685.90225,114.0
284,4,2.8,5667199192.263987,114.0
285,4,2.8,10832687758.826637,115.0
286,4,2.8,39488317504.57925,115.0
287,4,2.8,35049496646.26484,115.0
288,4,2.8,16562524286.931602,116.0
289,4,2.8,63898025180.51072,117.0
290,4,2.8,56711137586.00632,118.0
291,4,2.8,468795522.81140184,118.0
292,4,2.8,49634020660.65142,118.0
293,4,2.8,8399294327.780858,119.0
294,4,2.8,53722685540.46752,119.0
295,4,2.8,107104052709.56767,119.0
296,4,2.8,18070439797.26413,120.0
297,4,2.8,30670860285.12412,120.0
298,4,2.8,8812003517.241291,120.0
299,4,2.8,7936794936.923369,121.0
300,4,2.8,14522443867.114185,121.0
301,4,2.8,4488868074.582925,121.0
302,4,2.8,25066784914.665104,122.0
303,4,2.8,57915664798.71774,123.0
304,4,2.8,3813808577.511876,124.0
305,4,2.8,4936204494.766788,124.0
306,4,2.8,17667445013.158707,124.0
307,4,2.8,81466067753.19763,125.0
308,4,2.8,694288830.1753205,125.0
309,4,2.8,4686658590.163949,126.0
310,4,2.8,5861543131.607576,127.0
311,4,2.8,4268075837.921658,127.0
312,4,2.8,19929400218.349293,127.0
313,4,2.8,27778470349.385277,128.0
314,4,2.8,30766911747.372025,129.0
315,4,2.8,100280821742.89296,129.0
316,4,2.8,10954492630.535055,130.0
317,4,2.8,4527904210.87509,130.0
318,4,2.8,55749043459.8455,131.0
319,4,2.8,9103742595.100683,132.0
320,4,2.8,3936175254.883608,133.0
321,4,2.8,9091251198.406273,133.0
322,4,2.8,53251890108.56374,134.0
323,4,2.8,1778171700.3338766,135.0
324,4,2.8,3171362297.2906613,135.0
325,4,2.8,46004599281.12539,135.0
326,4,2.8,7820203970.532138,136.0
327,4,2.8,17849161777.037254,136.0
328,4,2.8,33255751788.697784,137.0
329,4,2.8,6472018002.429145,137.0
330,4,2.8,2282008310.8964615,138.0
331,4,2.8,45971331371.52514,138.0
332,4,2.8,5609916828.178346,138.0
333,4,2.8,325501540.3692259,139.0
334,4,2.8,2900351620.655085,139.0
335,4,2.8,18604316726.130062,139.0
336,4,2.8,26082436023.11999,140.0
337,4,2.8,579715754.8099828,140.0
338,4,2.8,7593637121.096943,141.0
339,4,2.8,15363052876.55703,141.0
340,4,2.8,18251551851.69579,141.0
341,4,2.8,83381068527.14545,142.0
342,4,2.8,27832992613.413486,143.0
343,4,2.8,36931051521.77638,143.0
344,4,2.8,3642199987.8723903,144.0
345,4,2.8,18922299776.087032,144.0
346,4,2.8,11044124562.28508,144.0
347,4,2.8,15548398886.251287,145.0
348,4,2.8,79106582666.79538,146.0
349,4,2.8,111389331698.09337,147.0
350,4,2.8,9581891377.521706,148.0
351,4,2.8,5754928744.127186,148.0
352,4,2.8,1435264096.8830516,148.0
353,4,2.8,163804263434.3691,149.0
354,4,2.8,73620790745.12685,150.0
355,4,2.8,3777605419.6500287,151.0
356,4,2.8,18554613804.208755,152.0
357,4,2.8,1607665328.1788032,152.0
358,4,2.8,10884144597.11095,152.0
359,4,2.8,124179530213.73734,153.0
360,4,2.8,76654148245.22432,154.0
361,4,2.8,7690773628.658239,155.0
362,4,2.8,15396224877.596863,155.0
363,4,2.8,587117861.5754418,156.0
364,4,2.8,288429546.97775257,156.0
365,4,2.8,1741203192.6876168,156.0
366,4,2.8,7447573468.016754,157.0
367,4,2.8,49658390262.17181,157.0
368,4,2.8,59846009899.32064,157.0
369,4,2.8,45080117111.148415,158.0
370,4,2.8,18479256686.023487,159.0
371,4,2.8,22084192730.269844,159.0
372,4,2.8,72040877698.63293,160.0
373,4,2.8,13221060605.152672,160.0
374,4,2.8,9918452673.184324,160.0
375,3,3.6,45846874636.32672,161.0
376,3,3.6,7601791.704876247,162.0
377,3,3.6,7015279.312924727,162.0
378,3,3.6,64012209.470702894,162.0
379,3,3.6,1346010947.8488922,163.0
380,3,3.6,5186568365.843488,163.0
381,3,3.6,764898989.8833213,163.0
382,3,3.6,15823269635.96917,164.0
383,3,3.6,27881100262.623516,165.0
384,3,3.6,116722487482.85594,166.0
385,3,3.6,6158554539.471842,167.0
386,3,3.6,28952289504.417027,168.0
387,3,3.6,11236356300.213247,169.0
388,3,3.6,65449162444.05293,169.0
389,3,3.6,25183781805.327118,170.0
390,3,3.6,2352802340.4347258,171.0
391,3,3.6,1871308089.0259137,171.0
392,3,3.6,21248424793.915085,172.0
393,3,3.6,13878863722.238218,172.0
394,3,3.6,1460658178.1245089,173.0
395,3,3.6,349488352.455639,173.0
396,3,3.6,7459947636.181454,174.0
397,3,3.6,8573207469.197074,174.0
398,3,3.6,3042851302.9154935,174.0
399,3,3.6,6783244402.880209,175.0
400,3,3.6,5689781606.541268,175.0
401,3,3.6,8901743189.564322,176.0
402,3,3.6,494271863.53139883,177.0
403,3,3.6,17393318932.176807,177.0
404,3,3.6,15294582847.615454,178.0
405,3,3.6,28504053432.07284,179.0
406,3,3.6,38169077390.42319,180.0
407,3,3.6,30541546523.619404,180.0
408,3,3.6,10434832395.43709,181.0
409,3,3.6,23733889892.519398,181.0
410,3,3.6,335825860.0182373,181.0
411,3,3.6,9146682692.933048,182.0
412,3,3.6,13504216122.824192,182.0
413,3,3.6,64573489916.75615,182.0
414,3,3.6,39841950702.80186,183.0
415,3,3.6,82519694080.62761,183.0
416,3,3.6,45084976026.55686,184.0
417,3,3.6,10245001353.259499,185.0
418,3,3.6,41507036737.24186,185.0
419,3,3.6,729471108.3301442,186.0
420,3,3.6,2621271664.241208,186.0
421,3,3.6,372886753.5077124,186.0
422,3,3.6,19352689.298331797,187.0
423,3,3.6,37961024.877181634,187.0
424,3,3.6,3523683455.802679,188.0
425,3,3.6,2805283066.7503624,188.0
426,3,3.6,37739058108.51746,189.0
427,3,3.6,18948766906.518196,189.0
428,3,3.6,22535349131.458023,189.0
429,3,3.6,13448167654.477823,190.0
430,3,3.6,7163621519.556002,190.0
431,3,3.6,2108720909.494585,190.0
432,3,3.6,2934311723.878598,191.0
433,3,3.6,301999341.416685,191.0
434,3,3.6,101373297.33764888,192.0
435,3,3.6,625102186.8556516,192.0
436,3,3.6,5821377854.446524,193.0
437,3,3.6,2925630977.707574,193.0
438,3,3.6,3468033710.9666395,193.0
439,3,3.6,7561654877.767513,194.0
440,3,3.6,20005761909.726032,194.0
441,3,3.6,8622258957.885435,195.0
442,3,3.6,845546134.8730009,195.0
443,3,3.6,7343015621.09239,196.0
444,3,3.6,56217346043.420425,197.0
445,3,3.6,7175338936.581792,197.0
446,3,3.6,1708677452.341914,198.0
447,3,3.6,4866724928.96927,198.0
448,3,3.6,2895038123.784428,199.0
449,3,3.6,8118966383.486188,199.0
450,3,3.6,3612037261.005066,200.0
451,3,3.6,13990866095.418444,200.0
452,3,3.6,96524663.5205027,200.0
453,3,3.6,3790905596.3359838,201.0
454,3,3.6,4300523076.42502,201.0
455,3,3.6,3315916394.1911373,201.0
456,3,3.6,14399991.941448217,202.0
457,3,3.6,9378452713.04142,203.0
458,3,3.6,9000203171.403545,203.0
459,3,3.6,2541070621.897397,204.0
460,3,3.6,23574887792.860867,204.0
461,3,3.6,1047372599.1694033,205.0
462,3,3.6,2081450988.1905937,205.0
463,3,3.6,6611246946.131578,205.0
464,3,3.6,3132221268.9942102,206.0
465,3,3.6,7970422446.534184,206.0
466,3,3.6,69956266938.52225,207.0
467,3,3.6,11510640323.991655,208.0
468,3,3.6,3906087255.0566134,208.0
469,3,3.6,19601841356.910374,208.0
470,3,3.6,13622042235.209257,209.0
471,3,3.6,7596749302.024716,209.0
472,3,3.6,9010275478.579308,210.0
473,3,3.6,1764984675.1732097,210.0
474,3,3.6,1148288343.514454,210.0
475,3,3.6,9506954136.873117,211.0
476,3,3.6,28299750938.909405,212.0
477,3,3.6,57601284312.992256,212.0
478,3,3.6,34920032.36022424,213.0
479,3,3.6,273054257.7175877,214.0
480,3,3.6,102712248.79661095,214.0
481,3,3.6,149421718.234672,214.0
482,3,3.6,1551996622.4319887,215.0
483,3,3.6,4523648254.368099,216.0
484,3,3.6,5040209530.417453,216.0
485,3,3.6,674603445.774606,216.0
486,3,3.6,9026268977.391396,217.0
487,3,3.6,1148144736.6680717,217.0
488,3,3.6,29161968803.60363,218.0
489,3,3.6,52447872621.920876,218.0
490,3,3.6,16261996595.553757,218.0
491,3,3.6,6654237998.1242285,219.0
492,3,3.6,2078725449.5174937,219.0
493,3,3.6,22968271031.060074,219.0
494,3,3.6,840250525.5164628,220.0
495,3,3.6,337621978.92576003,220.0
496,3,3.6,537745296.7553496,221.0
497,3,3.6,664333923.2650863,221.0
498,3,3.6,3308605028.875647,222.0
499,3,3.6,11198233500.771093,223.0
500,3,3.6,15300829113.2878,223.0
501,3,3.6,5639230513.344591,224.0
